state,city,avg_numproviders,median_numproviders,None of the above / Not working for pay,I continue to commute to work,Used to work from home and still do,"Used to commute, now work from home",I have recently been furloughed or laid-off,"Used to work from home, but now I commute",place_2000_pop
CT,Hartford,5.0,5.0,8.0,4.0,0.0,5.0,2.0,0.0,121578
CT,Montville,,,3.0,3.0,0.0,0.0,1.0,0.0,
CT,New Britain,5.0,5.0,6.0,8.0,2.0,8.0,1.0,0.0,71538
CT,Newington,,,3.0,1.0,1.0,6.0,2.0,0.0,
CT,Norwich,5.0,5.0,1.0,2.0,0.0,1.0,2.0,0.0,36117
CT,Plainville,,,3.0,2.0,0.0,0.0,0.0,0.0,
CT,Southington,,,6.0,1.0,1.0,3.0,0.0,0.0,
CT,Stonington,,,3.0,2.0,0.0,0.0,2.0,0.0,
CT,Waterbury,5.0,5.0,3.0,2.0,0.0,3.0,1.0,0.0,107271
CT,West Hartford,,,2.0,1.0,0.0,4.0,1.0,0.0,
CT,Windham,,,2.0,3.0,0.0,0.0,0.0,0.0,
DC,Washington,4.0,4.0,31.0,8.0,9.0,33.0,2.0,4.0,572059
DE,Bear,,,2.0,0.0,0.0,3.0,0.0,0.0,
DE,Brookside,,,3.0,0.0,0.0,1.0,2.0,1.0,
DE,Claymont,,,1.0,0.0,2.0,1.0,1.0,0.0,
DE,Dover,4.0,4.0,2.0,4.0,1.0,1.0,0.0,0.0,32135
DE,Glasgow,,,4.0,1.0,2.0,4.0,0.0,0.0,
DE,Newark,4.0,4.0,8.0,0.0,0.0,3.0,1.0,0.0,28547
DE,Pike Creek,,,7.0,2.0,2.0,8.0,3.0,0.0,
DE,Wilmington,4.0,4.0,9.0,2.0,0.0,1.0,2.0,0.0,72664
FL,Apopka,10.0,10.0,3.0,2.0,0.0,0.0,0.0,0.0,26642
FL,Bee Ridge,,,4.0,2.0,0.0,0.0,1.0,0.0,
FL,Bonita Springs,9.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,32797
FL,Bradenton,5.0,5.0,7.0,7.0,1.0,6.0,1.0,0.0,49504
FL,Cape Coral,9.0,9.0,13.0,1.0,2.0,1.0,0.0,0.0,102286
FL,Clearwater,5.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,108787
FL,Coral Springs,9.0,9.0,1.0,2.0,0.0,1.0,1.0,0.0,117549
FL,Davie,,,1.0,2.0,1.0,2.0,1.0,0.0,
FL,Fort Lauderdale,9.0,9.0,2.0,1.0,3.0,4.0,2.0,0.0,152397
FL,Fort Myers,9.0,9.0,3.0,0.0,0.0,0.0,2.0,0.0,48208
FL,Fruitville,,,5.0,1.0,0.0,2.0,0.0,0.0,
FL,Gainesville,7.0,7.0,4.0,3.0,0.0,3.0,0.0,0.0,95447
FL,Gulf Gate Estates,,,3.0,0.0,1.0,0.0,2.0,0.0,
FL,Jacksonville,6.0,6.0,18.0,10.0,4.0,8.0,1.0,0.0,735617
FL,Jupiter,,,2.0,1.0,1.0,2.0,1.0,0.0,
FL,Lakeland,7.0,7.0,4.0,2.0,0.0,1.0,0.0,0.0,78452
FL,Lakewood Ranch,,,3.0,3.0,0.0,1.0,2.0,0.0,
FL,Largo,5.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,69371
FL,Lutz,,,0.0,1.0,2.0,2.0,0.0,0.0,
FL,Melbourne,5.0,5.0,6.0,6.0,0.0,1.0,0.0,1.0,71382
FL,Merritt Island,,,5.0,1.0,0.0,1.0,0.0,0.0,
FL,Miami,9.0,9.0,11.0,2.0,4.0,7.0,2.0,0.0,362470
FL,Miramar Beach,,,2.0,1.0,2.0,0.0,1.0,0.0,
FL,Myakka City,,,2.0,4.0,1.0,0.0,0.0,0.0,
FL,Naples,5.0,5.0,2.0,1.0,1.0,1.0,2.0,0.0,20976
FL,Navarre,,,1.0,0.0,0.0,2.0,2.0,0.0,
FL,North Naples,,,6.0,1.0,1.0,2.0,0.0,0.0,
FL,North Port,6.0,6.0,8.0,2.0,0.0,0.0,0.0,0.0,22797
FL,Ocala,10.0,10.0,7.0,3.0,2.0,2.0,2.0,0.0,45943
FL,Orlando,10.0,10.0,13.0,7.0,1.0,3.0,4.0,2.0,185951
FL,Ormond Beach,8.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,36301
FL,Pace,,,2.0,3.0,0.0,1.0,0.0,0.0,
FL,Palm Bay,5.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,79413
FL,Palm Beach Gardens,10.0,10.0,3.0,0.0,0.0,2.0,0.0,1.0,35058
FL,Palm City,,,1.0,1.0,0.0,2.0,0.0,1.0,
FL,Panama City Beach,6.0,6.0,1.0,1.0,1.0,2.0,0.0,0.0,7671
FL,Plantation,9.0,9.0,4.0,1.0,0.0,3.0,0.0,0.0,82934
FL,Port St. Lucie,8.0,8.0,4.0,4.0,2.0,0.0,0.0,0.0,88769
FL,Rotonda West,,,4.0,0.0,0.0,0.0,1.0,0.0,
FL,Ruskin,,,2.0,1.0,1.0,1.0,1.0,0.0,
FL,Sarasota,6.0,6.0,5.0,2.0,3.0,2.0,3.0,0.0,52715
FL,Sarasota Springs,,,2.0,0.0,3.0,2.0,0.0,0.0,
FL,Spring Hill,,,4.0,2.0,0.0,0.0,0.0,0.0,
FL,St. Petersburg,5.0,5.0,2.0,8.0,3.0,4.0,3.0,0.0,248232
FL,Tallahassee,7.0,7.0,10.0,11.0,2.0,6.0,1.0,1.0,150624
FL,Tampa,8.0,8.0,26.0,17.0,4.0,11.0,7.0,0.0,303447
FL,The Villages,,,8.0,0.0,0.0,1.0,1.0,0.0,
GA,Albany,5.0,5.0,11.0,11.0,1.0,4.0,2.0,1.0,76939
GA,Athens,,,3.0,0.0,0.0,2.0,0.0,0.0,
GA,Atlanta,14.0,14.0,42.0,47.0,11.0,24.0,4.0,3.0,38669929775
GA,Augusta,,,3.0,1.0,1.0,3.0,0.0,0.0,
GA,Buford,8.5,8.5,5.0,3.0,2.0,1.0,0.0,0.0,10566102
GA,Columbus,,,3.0,2.0,0.0,0.0,1.0,0.0,
GA,Conyers,5.0,5.0,5.0,2.0,1.0,1.0,1.0,0.0,10689
GA,Cordele,7.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,11608
GA,Covington,7.0,7.0,2.0,3.0,0.0,1.0,1.0,0.0,11547
GA,Dacula,10.0,10.0,6.0,1.0,1.0,4.0,0.0,0.0,3848
GA,Douglasville,11.0,11.0,4.0,0.0,1.0,0.0,0.0,0.0,20065
GA,Duluth,10.0,10.0,2.0,2.0,1.0,1.0,2.0,0.0,22122
GA,Forest Park,9.0,9.0,5.0,1.0,0.0,2.0,0.0,0.0,21447
GA,Johns Creek,,,1.0,1.0,3.0,0.0,0.0,0.0,
GA,Jonesboro,9.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,3829
GA,LaGrange,6.0,6.0,8.0,6.0,0.0,5.0,1.0,0.0,25998
GA,Lawrenceville,10.0,10.0,10.0,3.0,1.0,2.0,1.0,1.0,22397
GA,Lilburn,10.0,10.0,4.0,0.0,2.0,1.0,1.0,0.0,11307
GA,Loganville,8.0,8.0,2.0,0.0,1.0,2.0,0.0,0.0,41501285
GA,Macon,9.5,9.5,2.0,1.0,1.0,1.0,0.0,0.0,96777478
GA,Marietta,12.0,12.0,3.0,1.0,0.0,2.0,1.0,0.0,58748
GA,McDonough,7.0,7.0,5.0,2.0,2.0,4.0,0.0,0.0,8493
GA,Mountain Park,14.5,14.5,3.0,0.0,2.0,1.0,0.0,0.0,49610
GA,Peachtree Corners,,,2.0,1.0,1.0,4.0,3.0,1.0,
GA,Porterdale,,,2.0,2.0,1.0,0.0,0.0,1.0,
GA,Rex,,,5.0,1.0,1.0,1.0,1.0,0.0,
GA,Riverdale,9.0,9.0,3.0,4.0,1.0,2.0,2.0,0.0,12478
GA,Sandy Springs,,,3.0,0.0,2.0,4.0,0.0,0.0,
GA,Snellville,10.0,10.0,6.0,1.0,2.0,5.0,1.0,0.0,15351
GA,Stockbridge,7.0,7.0,6.0,6.0,0.0,5.0,0.0,1.0,9853
GA,Sugar Hill,10.0,10.0,4.0,0.0,2.0,1.0,1.0,0.0,11399
GA,Suwanee,10.0,10.0,3.0,2.0,0.0,3.0,4.0,0.0,8725
GA,Tucker,,,0.0,0.0,3.0,2.0,0.0,0.0,
GA,Valdosta,8.0,8.0,1.0,3.0,0.0,2.0,0.0,0.0,43724
GA,Warner Robins,8.5,8.5,0.0,4.0,0.0,1.0,0.0,0.0,4878717
HI,Honolulu,,,8.0,8.0,5.0,4.0,4.0,1.0,
HI,Kahului,,,4.0,2.0,0.0,0.0,3.0,0.0,
HI,Kihei,,,7.0,0.0,3.0,2.0,3.0,0.0,
HI,Napili,,,3.0,0.0,2.0,0.0,2.0,0.0,
HI,Pukalani,,,2.0,0.0,0.0,3.0,1.0,0.0,
HI,Wailuku,,,4.0,5.0,0.0,0.0,0.0,0.0,
IA,Ames,17.0,17.0,8.0,1.0,1.0,2.0,0.0,0.0,50731
IA,Ankeny,34.0,34.0,3.0,0.0,6.0,2.0,0.0,0.0,27117
IA,Bettendorf,17.0,17.0,4.0,4.0,0.0,2.0,0.0,0.0,31275
IA,Burlington,10.0,10.0,4.0,1.0,0.0,0.0,0.0,0.0,26839
IA,Carroll,13.0,13.0,2.0,2.0,0.0,1.0,0.0,0.0,10106
IA,Cedar Falls,19.0,19.0,4.0,3.0,0.0,3.0,1.0,0.0,36145
IA,Cedar Rapids,27.0,27.0,4.0,1.0,1.0,3.0,0.0,0.0,120758
IA,Council Bluffs,15.0,15.0,12.0,6.0,4.0,4.0,0.0,0.0,58268
IA,Davenport,17.0,17.0,3.0,5.0,1.0,4.0,2.0,0.0,98359
IA,Des Moines,34.0,34.0,19.0,8.0,4.0,15.0,1.0,0.0,198682
IA,Dubuque,15.0,15.0,4.0,1.0,0.0,2.0,0.0,0.0,57686
IA,Fort Dodge,14.0,14.0,5.0,1.0,0.0,0.0,0.0,2.0,25136
IA,Marshalltown,13.0,13.0,6.0,4.0,0.0,4.0,1.0,0.0,26009
IA,Mason City,14.0,14.0,3.0,2.0,0.0,0.0,1.0,0.0,29172
IA,Muscatine,15.0,15.0,4.0,2.0,0.0,1.0,0.0,0.0,22697
IA,Omaha,,,1.0,3.0,0.0,0.0,1.0,0.0,
IA,Sioux City,15.0,15.0,8.0,0.0,1.0,2.0,0.0,0.0,850130
IA,Spirit Lake,10.0,10.0,3.0,2.0,0.0,0.0,0.0,0.0,4261
IA,Urbandale,28.5,28.5,0.0,3.0,3.0,0.0,0.0,0.0,28745327
IA,Waterloo,19.0,19.0,9.0,3.0,2.0,0.0,0.0,1.0,68747
IA,Waverly,14.0,14.0,3.0,2.0,0.0,0.0,0.0,0.0,8968
IA,West Des Moines,28.5,28.5,1.0,5.0,1.0,4.0,0.0,0.0,425253878
ID,Boise,,,23.0,10.0,6.0,7.0,6.0,1.0,
ID,Caldwell,5.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,25967
ID,Hailey,6.0,6.0,8.0,1.0,2.0,5.0,0.0,0.0,6200
ID,Idaho Falls,8.0,8.0,5.0,1.0,1.0,0.0,0.0,0.0,50730
ID,Ketchum,6.0,6.0,2.0,1.0,0.0,3.0,0.0,0.0,3003
ID,Kuna,6.0,6.0,3.0,0.0,0.0,3.0,0.0,0.0,5382
ID,Meridian,6.0,6.0,5.0,6.0,5.0,4.0,1.0,0.0,34919
ID,Mountain Home,3.0,3.0,3.0,4.0,0.0,1.0,0.0,0.0,11143
ID,Nampa,5.0,5.0,5.0,0.0,2.0,2.0,1.0,0.0,51867
ID,Pocatello,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,5144224
ID,Post Falls,6.0,6.0,3.0,0.0,1.0,1.0,0.0,1.0,17247
ID,Preston,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,4682
ID,Twin Falls,5.0,5.0,0.0,5.0,0.0,1.0,1.0,0.0,34469
IL,Alton,12.0,12.0,3.0,3.0,1.0,1.0,1.0,0.0,30496
IL,Arlington Heights,,,4.0,3.0,3.0,3.0,0.0,0.0,
IL,Aurora,6.75,6.5,4.0,0.0,0.0,1.0,0.0,0.0,100290389052955840
